seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,tasks_rescued_pct,total_runtime,error_message,experiment_type,hazard_count
0,2,2,16,32,1,0.02,38.839797019958496,21.623101234436035,1.0,100.0,47.94808010919951,,2a_success_hazard_count,1
1,2,2,16,32,1,0.02,38.89014673233032,21.67024278640747,1.0,100.0,47.12370547000319,,2a_success_hazard_count,1
2,2,2,16,32,1,0.02,38.963385820388794,21.72363519668579,1.0,100.0,47.339016541140154,,2a_success_hazard_count,1
3,2,2,16,32,1,0.02,38.89827847480774,21.66010355949402,0.9883333333333333,99.41666666666666,45.34274439304136,,2a_success_hazard_count,1
4,2,2,16,32,1,0.02,38.84058594703674,21.57657217979431,0.62,81.0,45.28837753389962,,2a_success_hazard_count,1
5,2,2,16,32,1,0.02,38.89398002624512,21.63760805130005,1.0,100.0,46.928509135963395,,2a_success_hazard_count,1
6,2,2,16,32,1,0.02,38.79361176490784,21.556408166885376,0.9975,100.0,47.14651114307344,,2a_success_hazard_count,1
7,2,2,16,32,1,0.02,38.66015005111694,21.424187421798706,1.0,100.0,46.861072887899354,,2a_success_hazard_count,1
0,2,2,16,32,2,0.02,39.13133645057678,21.90361213684082,1.0,100.0,52.01963050221093,,2a_success_hazard_count,2
1,2,2,16,32,2,0.02,38.94407677650452,21.676873922348022,1.0,100.0,51.88817592198029,,2a_success_hazard_count,2
2,2,2,16,32,2,0.02,38.955421686172485,21.697311401367188,0.6383333333333333,63.83333333333333,52.10046809096821,,2a_success_hazard_count,2
3,2,2,16,32,2,0.02,39.32583522796631,21.843674898147583,0.9883333333333333,99.41666666666666,50.34210187406279,,2a_success_hazard_count,2
4,2,2,16,32,2,0.02,39.082561016082764,21.757250785827637,0.62,81.0,50.57779482589103,,2a_success_hazard_count,2
5,2,2,16,32,2,0.02,40.03749108314514,22.663472890853882,1.0,100.0,52.891722954111174,,2a_success_hazard_count,2
6,2,2,16,32,2,0.02,39.09206748008728,21.76817512512207,0.9975,100.0,52.31018105708063,,2a_success_hazard_count,2
7,2,2,16,32,2,0.02,39.09969401359558,21.81955599784851,1.0,100.0,51.88259744294919,,2a_success_hazard_count,2
0,2,2,16,32,3,0.02,42.135139704914764,21.89440155029297,0.9641666666666666,100.0,56.8947623509448,,2a_success_hazard_count,3
1,2,2,16,32,3,0.02,42.213585572782904,21.914229154586792,0.9383333333333334,93.83333333333333,56.94137445418164,,2a_success_hazard_count,3
2,2,2,16,32,3,0.02,42.1693765160162,21.81577467918396,0.6116666666666667,61.16666666666667,57.01156959193759,,2a_success_hazard_count,3
3,2,2,16,32,3,0.02,42.00363214290701,21.703566551208496,0.9766666666666667,98.79166666666667,54.77938937488943,,2a_success_hazard_count,3
4,2,2,16,32,3,0.02,42.074610703159124,21.829280138015747,0.62,81.0,55.12765174894594,,2a_success_hazard_count,3
5,2,2,16,32,3,0.02,42.08350774995051,21.789032220840454,1.0,100.0,56.62532734894194,,2a_success_hazard_count,3
6,2,2,16,32,3,0.02,42.09551997901872,21.72268295288086,0.9975,100.0,56.84558797511272,,2a_success_hazard_count,3
7,2,2,16,32,3,0.02,43.04155007004738,22.615794897079468,1.0,100.0,57.539888948900625,,2a_success_hazard_count,3
0,2,2,16,32,4,0.02,46.46655674302019,21.554757833480835,0.9641666666666666,100.0,61.178849146934226,,2a_success_hazard_count,4
1,2,2,16,32,4,0.02,46.64832976809703,21.564550399780273,0.9383333333333334,93.83333333333333,61.357163649983704,,2a_success_hazard_count,4
2,2,2,16,32,4,0.02,46.72698870697059,21.65203595161438,0.6116666666666667,61.16666666666667,61.470539276022464,,2a_success_hazard_count,4
3,2,2,16,32,4,0.02,46.93189632403664,21.86678147315979,0.0625,52.625,59.90635401988402,,2a_success_hazard_count,4
4,2,2,16,32,4,0.02,46.85657826298848,21.79732584953308,0.62,81.0,59.64624352613464,,2a_success_hazard_count,4
5,2,2,16,32,4,0.02,46.84330532210879,21.822470664978027,1.0,100.0,61.3510206269566,,2a_success_hazard_count,4
6,2,2,16,32,4,0.02,46.68076676107012,21.667264461517334,0.6133333333333333,61.5,61.87428026879206,,2a_success_hazard_count,4
7,2,2,16,32,4,0.02,46.94536474882625,21.785486936569214,1.0,100.0,59.89652093593031,,2a_success_hazard_count,4
0,2,2,16,32,5,0.02,51.80619666702114,21.798361778259277,0.25916666666666666,62.74999999999999,64.79533829190768,,2a_success_hazard_count,5
1,2,2,16,32,5,0.02,51.919827974168584,22.02214741706848,0.8825,88.25,66.58274765592068,,2a_success_hazard_count,5
2,2,2,16,32,5,0.02,51.40890544001013,21.750409364700317,0.22833333333333333,22.833333333333332,66.14144706306979,,2a_success_hazard_count,5
3,2,2,16,32,5,0.02,51.55234801606275,21.891628980636597,0.0625,52.625,64.32110882294364,,2a_success_hazard_count,5
4,2,2,16,32,5,0.02,51.530191677156836,21.84286069869995,0.33166666666666667,57.791666666666664,64.4691260100808,,2a_success_hazard_count,5
5,2,2,16,32,5,0.02,51.39262268715538,21.66106653213501,1.0,100.0,65.77394743310288,,2a_success_hazard_count,5
6,2,2,16,32,5,0.02,51.45650510885753,21.675724983215332,0.6133333333333333,61.5,66.27280498901382,,2a_success_hazard_count,5
7,2,2,16,32,5,0.02,51.86569910100661,22.050084829330444,1.0,100.0,64.78747886396013,,2a_success_hazard_count,5
