seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,tasks_rescued_pct,total_runtime,error_message,experiment_type,pf_value
0,2,2,16,32,1,0.02,39.338268995285034,21.95029592514038,1.0,100.0,47.42457642080262,,2b_success_pf,0.02
1,2,2,16,32,1,0.02,38.94601583480835,21.649368286132812,1.0,100.0,47.154701999854296,,2b_success_pf,0.02
2,2,2,16,32,1,0.02,39.27046465873718,21.971647262573242,1.0,100.0,47.81031627696939,,2b_success_pf,0.02
3,2,2,16,32,1,0.02,38.91966485977173,21.623804569244385,0.9883333333333333,99.41666666666666,45.463944293092936,,2b_success_pf,0.02
4,2,2,16,32,1,0.02,39.19808864593506,21.800390243530273,0.62,81.0,45.79941761097871,,2b_success_pf,0.02
5,2,2,16,32,1,0.02,39.50396227836609,22.087618350982666,1.0,100.0,47.78234237502329,,2b_success_pf,0.02
6,2,2,16,32,1,0.02,39.22499680519104,21.905406951904297,0.9975,100.0,47.877564714988694,,2b_success_pf,0.02
7,2,2,16,32,1,0.02,39.30051517486572,21.95285153388977,1.0,100.0,47.78972534206696,,2b_success_pf,0.02
0,2,2,16,32,1,0.04,38.88468670845032,21.57691764831543,1.0,100.0,46.96148915705271,,2b_success_pf,0.04
1,2,2,16,32,1,0.04,38.95392680168152,21.655168056488037,1.0,100.0,47.18519766791724,,2b_success_pf,0.04
2,2,2,16,32,1,0.04,39.157299280166626,21.870795249938965,1.0,100.0,47.57100237417035,,2b_success_pf,0.04
3,2,2,16,32,1,0.04,39.09893321990967,21.813302278518677,0.9216666666666666,96.08333333333333,45.56464044889435,,2b_success_pf,0.04
4,2,2,16,32,1,0.04,38.94526505470276,21.6488356590271,0.2025,59.291666666666664,45.43546222615987,,2b_success_pf,0.04
5,2,2,16,32,1,0.04,39.3312509059906,21.934061527252197,1.0,100.0,47.53237934387289,,2b_success_pf,0.04
6,2,2,16,32,1,0.04,39.23787045478821,21.87928581237793,0.7958333333333333,100.0,47.79718096880242,,2b_success_pf,0.04
7,2,2,16,32,1,0.04,39.6144380569458,22.233121156692505,1.0,100.0,46.08210728992708,,2b_success_pf,0.04
0,2,2,16,32,1,0.06,38.77163910865784,21.458693027496338,1.0,100.0,46.90377104189247,,2b_success_pf,0.06
1,2,2,16,32,1,0.06,39.46593976020813,22.04150366783142,1.0,100.0,47.479144040029496,,2b_success_pf,0.06
2,2,2,16,32,1,0.06,39.44117760658264,22.048235416412354,0.9616666666666667,96.16666666666667,47.746217779116705,,2b_success_pf,0.06
3,2,2,16,32,1,0.06,39.333263635635376,22.013869047164917,0.77,88.5,46.10998076503165,,2b_success_pf,0.06
4,2,2,16,32,1,0.06,38.999290227890015,21.68967318534851,0.011666666666666667,40.458333333333336,45.47625664412044,,2b_success_pf,0.06
5,2,2,16,32,1,0.06,39.03272318840027,21.732004165649414,0.9991666666666666,99.91666666666667,47.35215212404728,,2b_success_pf,0.06
6,2,2,16,32,1,0.06,38.992597818374634,21.718366861343384,0.2925,100.0,47.406780584016815,,2b_success_pf,0.06
7,2,2,16,32,1,0.06,38.92150902748108,21.63699722290039,1.0,100.0,45.36013670708053,,2b_success_pf,0.06
0,2,2,16,32,1,0.08,38.702980756759644,21.413896083831787,1.0,100.0,46.746066271094605,,2b_success_pf,0.08
1,2,2,16,32,1,0.08,39.10180616378784,21.837989807128906,1.0,100.0,48.341242511058226,,2b_success_pf,0.08
2,2,2,16,32,1,0.08,38.91861176490784,21.63818883895874,0.735,73.5,47.15619646687992,,2b_success_pf,0.08
3,2,2,16,32,1,0.08,38.77645754814148,21.50874900817871,0.058333333333333334,52.916666666666664,45.275287756929174,,2b_success_pf,0.08
4,2,2,16,32,1,0.08,38.87992572784424,21.58608651161194,0.0008333333333333334,20.25,45.34554092492908,,2b_success_pf,0.08
5,2,2,16,32,1,0.08,38.931745290756226,21.618496656417847,0.9958333333333333,99.66666666666667,47.050911985803396,,2b_success_pf,0.08
6,2,2,16,32,1,0.08,38.81380891799927,21.551459550857544,0.04416666666666667,100.0,47.09780214517377,,2b_success_pf,0.08
7,2,2,16,32,1,0.08,38.73188257217407,21.4623761177063,1.0,100.0,45.16158434189856,,2b_success_pf,0.08
0,2,2,16,32,1,0.1,38.873751163482666,21.591792821884155,1.0,100.0,46.93492029700428,,2b_success_pf,0.1
1,2,2,16,32,1,0.1,38.751434326171875,21.491561889648438,1.0,100.0,46.82175584998913,,2b_success_pf,0.1
2,2,2,16,32,1,0.1,38.80974245071411,21.54849648475647,0.35583333333333333,35.583333333333336,47.08657399495132,,2b_success_pf,0.1
3,2,2,16,32,1,0.1,38.72108864784241,21.474539756774902,0.005,50.24999999999999,45.137689827010036,,2b_success_pf,0.1
4,2,2,16,32,1,0.1,38.813780546188354,21.5576331615448,0.0008333333333333334,0.08333333333333334,47.26341620692983,,2b_success_pf,0.1
5,2,2,16,32,1,0.1,38.90307903289795,21.660191297531128,0.9708333333333333,97.83333333333334,47.51040837098844,,2b_success_pf,0.1
6,2,2,16,32,1,0.1,38.69937205314636,21.38938307762146,0.005,100.0,47.1978710941039,,2b_success_pf,0.1
7,2,2,16,32,1,0.1,39.225419759750366,21.77644181251526,1.0,100.0,45.50450190482661,,2b_success_pf,0.1
