seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,tasks_rescued_pct,total_runtime,error_message,experiment_type,task_count
0,2,2,16,32,1,0.02,39.01605749130249,21.723110914230347,1.0,100.0,47.24626468215138,,2c_success_task_count,2
1,2,2,16,32,1,0.02,39.49798536300659,22.092987537384033,1.0,100.0,47.8687888761051,,2c_success_task_count,2
2,2,2,16,32,1,0.02,38.978331089019775,21.691157817840576,1.0,100.0,47.338848422979936,,2c_success_task_count,2
3,2,2,16,32,1,0.02,38.89079284667969,21.620458602905273,0.9883333333333333,99.41666666666666,45.38692627311684,,2c_success_task_count,2
4,2,2,16,32,1,0.02,39.02419114112854,21.738388299942017,0.62,81.0,45.55726797715761,,2c_success_task_count,2
5,2,2,16,32,1,0.02,38.8928439617157,21.613005876541138,1.0,100.0,46.98665311187506,,2c_success_task_count,2
6,2,2,16,32,1,0.02,39.05716156959534,21.797051191329956,0.9975,100.0,47.75040007382631,,2c_success_task_count,2
7,2,2,16,32,1,0.02,39.181894063949585,21.77035927772522,1.0,100.0,47.39845633902587,,2c_success_task_count,2
0,2,3,16,32,1,0.02,81.62220811843872,45.87322282791138,1.0,100.0,90.61999189015478,,2c_success_task_count,3
1,2,3,16,32,1,0.02,82.72812676429749,56.427334785461426,1.0,100.0,101.03931052098051,,2c_success_task_count,3
2,2,3,16,32,1,0.02,81.00795841217041,54.966304063797,1.0,100.0,98.97545744199306,,2c_success_task_count,3
3,2,3,16,32,1,0.02,81.02028751373291,55.029202699661255,0.9883333333333333,99.6111111111111,90.41814761701971,,2c_success_task_count,3
4,2,3,16,32,1,0.02,81.29476189613342,55.135807514190674,1.0,100.0,90.2087039211765,,2c_success_task_count,3
5,2,3,16,32,1,0.02,81.24879169464111,55.323766231536865,0.2925,76.41666666666667,90.33526819595136,,2c_success_task_count,3
6,2,3,16,32,1,0.02,81.031658411026,55.1181423664093,1.0,100.0,98.84601075411774,,2c_success_task_count,3
7,2,3,16,32,1,0.02,80.96034550666809,55.04924488067627,1.0,100.0,99.09549004305154,,2c_success_task_count,3
0,2,4,16,32,1,0.02,231.21555471420288,98.36836194992065,0.9091666666666667,97.72916666666667,249.73900709301233,,2c_success_task_count,4
1,2,4,16,32,1,0.02,230.62660002708435,150.13373732566833,1.0,100.0,293.3998362349812,,2c_success_task_count,4
2,2,4,16,32,1,0.02,236.7526876926422,91.53056526184082,1.0,100.0,255.88055089395493,,2c_success_task_count,4
3,2,4,16,32,1,0.02,234.80422449111938,151.7788007259369,0.9883333333333333,99.70833333333333,253.39214491914026,,2c_success_task_count,4
4,2,4,16,32,1,0.02,231.96661496162415,108.7925968170166,1.0,100.0,243.0282765419688,,2c_success_task_count,4
5,2,4,16,32,1,0.02,233.36401081085205,109.000896692276,0.38083333333333336,69.04166666666667,244.4643543921411,,2c_success_task_count,4
6,2,4,16,32,1,0.02,232.06443643569946,151.12325596809387,1.0,100.0,250.84358138707466,,2c_success_task_count,4
7,2,4,16,32,1,0.02,232.31039214134216,151.1050579547882,1.0,100.0,292.7278797298204,,2c_success_task_count,4
0,2,5,16,32,1,0.02,852.3156409263611,254.60329389572144,0.7525,95.05000000000001,914.5522416611202,,2c_success_task_count,5
1,2,5,16,32,1,0.02,852.616199016571,468.8649203777313,1.0,100.0,913.4605951739941,,2c_success_task_count,5
2,2,5,16,32,1,0.02,848.1599683761597,178.20045566558838,1.0,100.0,869.178281718865,,2c_success_task_count,5
3,2,5,16,32,1,0.02,847.5987863540649,465.8342561721802,0.9883333333333333,99.76666666666667,908.4252637920436,,2c_success_task_count,5
4,2,5,16,32,1,0.02,851.435097694397,252.99372124671936,0.6908333333333333,87.63333333333334,872.7170306697953,,2c_success_task_count,5
5,2,5,16,32,1,0.02,846.7976686954498,304.5118227005005,0.43833333333333335,77.53333333333333,867.764095984865,,2c_success_task_count,5
6,2,5,16,32,1,0.02,847.0228016376495,177.83435535430908,1.0,100.0,867.9738979970571,,2c_success_task_count,5
7,2,5,16,32,1,0.02,846.9672322273254,465.72978711128235,1.0,100.0,907.7827798489016,,2c_success_task_count,5
