episode,n_tasks,n_realizations,tasks_rescued_pct,num_tasks
0,2,3,16.6667,2
1,2,3,50.0000,2
2,2,3,66.6667,2
3,2,3,100.0000,2
4,2,3,100.0000,2
5,2,3,50.0000,2
6,2,3,100.0000,2
7,2,3,0.0000,2
8,2,3,50.0000,2
9,2,3,50.0000,2
0,3,3,100.0000,3
1,3,3,66.6667,3
2,3,3,100.0000,3
3,3,3,100.0000,3
4,3,3,66.6667,3
5,3,3,100.0000,3
6,3,3,66.6667,3
7,3,3,100.0000,3
8,3,3,100.0000,3
9,3,3,100.0000,3
0,4,3,33.3333,4
1,4,3,50.0000,4
2,4,3,8.3333,4
3,4,3,100.0000,4
4,4,3,75.0000,4
5,4,3,83.3333,4
6,4,3,66.6667,4
7,4,3,41.6667,4
8,4,3,58.3333,4
9,4,3,8.3333,4
0,5,3,46.6667,5
1,5,3,60.0000,5
2,5,3,40.0000,5
3,5,3,100.0000,5
4,5,3,80.0000,5
5,5,3,100.0000,5
6,5,3,66.6667,5
7,5,3,100.0000,5
8,5,3,66.6667,5
9,5,3,73.3333,5
